,num,species,chamber,shelf,water_lvl,rep,ag_biomass,bg_biomass,diam,ag2,bg2,total_biomass,co2_lvl,water_low,water_fluct,water_high
54,55,POFR,2,1,A,4,1.351,1.1457,3.34,,,2.4966999999999997,0,0,1,0
56,57,POFR,2,3,A,5,1.1254,0.5831,2.55,,,1.7085,0,0,1,0
60,61,POFR,3,3,A,2,1.049,0.5565,2.83,,,1.6055,1,0,1,0
62,63,POFR,3,2,A,4,2.4952,1.5055,3.86,,,4.0007,1,0,1,0
66,67,POFR,3,1,A,6,0.9154,0.4635,2.93,,,1.3789,1,0,1,0
69,70,POFR,4,1,A,1,1.6108,1.1537,3.35,,,2.7645,1,0,1,0
72,73,POFR,4,3,A,3,1.9134,1.396,3.66,,,3.3094,1,0,1,0
75,76,POFR,4,2,A,5,2.1142,1.542,4.18,,,3.6562,1,0,1,0
43,44,POFR,1,3,H,1,2.162,1.4864,4.29,,,3.6483999999999996,0,0,0,1
46,47,POFR,1,1,H,3,1.1207,0.6326,2.49,,,1.7533,0,0,0,1
48,49,POFR,1,2,H,5,1.3096,0.6964,2.76,,,2.0060000000000002,0,0,0,1
52,53,POFR,2,3,H,2,1.4069,0.784,2.93,,,2.1909,0,0,0,1
55,56,POFR,2,2,H,4,1.104,1.0622,2.88,,,2.1662,0,0,0,1
58,59,POFR,2,1,H,6,1.2966,0.6763,2.74,,,1.9729,0,0,0,1
61,62,POFR,3,3,H,2,0.8601,0.4139,2.41,,,1.274,1,0,0,1
63,64,POFR,3,2,H,4,3.134,2.303,3.61,,,5.436999999999999,1,0,0,1
67,68,POFR,3,1,H,6,1.2171,0.918,2.7,,,2.1351,1,0,0,1
70,71,POFR,4,1,H,1,1.8274,1.047,3.37,,,2.8743999999999996,1,0,0,1
73,74,POFR,4,3,H,3,2.1069,1.2548,3.16,,,3.3617,1,0,0,1
76,77,POFR,4,2,H,5,2.7428,1.436,3.89,,,4.1788,1,0,0,1
41,42,POFR,1,1,L,1,1.905,1.1924,2.85,,,3.0974,0,1,0,0
44,45,POFR,1,2,L,3,0.5507,0.2592,2.25,,,0.8099,0,1,0,0
47,48,POFR,1,3,L,5,2.101,1.5873,3.12,,,3.6883,0,1,0,0
50,51,POFR,2,3,L,2,2.3427,1.3247,3.49,,,3.6673999999999998,0,1,0,0
53,54,POFR,2,1,L,4,3.0008,0.8955,4.29,,,3.8963,0,1,0,0
57,58,POFR,2,2,L,6,1.3296,0.9116,2.78,,,2.2412,0,1,0,0
59,60,POFR,3,2,L,2,2.371,1.8469,3.37,,,4.2179,1,1,0,0
64,65,POFR,3,1,L,5,0.9617,0.4615,2.13,,,1.4232,1,1,0,0
65,66,POFR,3,3,L,6,1.33,0.9957,2.72,,,2.3257000000000003,1,1,0,0
68,69,POFR,4,3,L,1,1.7901,0.7553,3.48,,,2.5454,1,1,0,0
71,72,POFR,4,1,L,3,1.4821,0.9575,3.08,,,2.4396,1,1,0,0
74,75,POFR,4,2,L,4,3.0451,1.875,3.65,,,4.9201,1,1,0,0
77,78,SAGO,1,1,A,1,0.6428,0.9209,2.63,,,1.5637,0,0,1,0
80,81,SAGO,1,2,A,2,0.5615,0.6821,2.05,,,1.2436,0,0,1,0
83,84,SAGO,1,3,A,4,0.604,0.8252,2,,,1.4292,0,0,1,0
89,90,SAGO,2,1,A,3,0.4611,0.6644,2.11,,,1.1255,0,0,1,0
93,94,SAGO,2,3,A,6,0.2665,0.3325,1.7,,,0.599,0,0,1,0
97,98,SAGO,3,1,A,2,0.868,0.4937,1.68,,,1.3617,1,0,1,0
100,101,SAGO,3,2,A,4,0.858,0.4194,1.66,,,1.2774,1,0,1,0
103,104,SAGO,3,3,A,6,0.2617,0.1766,1.08,,,0.4383,1,0,1,0
106,107,SAGO,4,3,A,1,1.3829,1.0325,2.7,,,2.4154,1,0,1,0
108,109,SAGO,4,1,A,3,0.7847,0.4225,2.22,,,1.2071999999999998,1,0,1,0
111,112,SAGO,4,2,A,5,0.8071,0.5366,1.89,,,1.3437000000000001,1,0,1,0
78,79,SAGO,1,3,H,1,1.1635,1.837,2.77,,,3.0004999999999997,0,0,0,1
81,82,SAGO,1,1,H,3,0.4203,0.463,1.69,,,0.8833,0,0,0,1
84,85,SAGO,1,2,H,5,0.3655,0.4355,1.66,,,0.8009999999999999,0,0,0,1
87,88,SAGO,2,1,H,2,0.6721,0.2734,1.63,1.06,0.6521,0.9455,0,0,0,1
90,91,SAGO,2,2,H,4,1.454,1.3018,2.53,,,2.7558,0,0,0,1
94,95,SAGO,2,3,H,6,0.563,0.6367,1.82,,,1.1997,0,0,0,1
95,96,SAGO,4,1,H,1,0.9855,1.1488,2.74,,,2.1343,1,0,0,1
98,99,SAGO,3,3,H,2,2.0047,1.1045,2.69,,,3.1092000000000004,1,0,0,1
101,102,SAGO,3,1,H,4,1.2551,1.174,2.54,,,2.4291,1,0,0,1
104,105,SAGO,3,2,H,6,0.6988,0.385,1.28,,,1.0838,1,0,0,1
109,110,SAGO,4,2,H,3,1.7865,1.5414,2.33,,,3.3279,1,0,0,1
112,113,SAGO,4,3,H,5,2.4675,1.791,3.38,,,4.2585,1,0,0,1
79,80,SAGO,1,1,L,2,0.5155,0.8558,2.16,,,1.3713,0,1,0,0
82,83,SAGO,1,2,L,4,0.5934,1.2438,2.4,,,1.8372000000000002,0,1,0,0
85,86,SAGO,1,3,L,6,0.6445,0.853,2.29,,,1.4975,0,1,0,0
86,87,SAGO,2,2,L,1,1.007,0.4964,1.91,,,1.5033999999999998,0,1,0,0
88,89,SAGO,2,3,L,3,1.2142,0.8979,2.55,,,2.1121,0,1,0,0
91,92,SAGO,2,1,L,5,0.4185,0.2041,1.79,0.5172,0.3114,0.6226,0,1,0,0
96,97,SAGO,3,1,L,2,0.3672,0.2076,1.33,0.5592,0.2969,0.5748,1,1,0,0
99,100,SAGO,3,3,L,4,0.4083,0.3211,1.18,,,0.7294,1,1,0,0
102,103,SAGO,3,2,L,6,0.3082,0.3122,1.78,,,0.6204,1,1,0,0
105,106,SAGO,4,3,L,1,1.5127,0.6192,2.48,,,2.1319,1,1,0,0
107,108,SAGO,4,1,L,3,1.547,0.7203,2.39,,,2.2673,1,1,0,0
110,111,SAGO,4,2,L,5,1.5403,1.3232,2.76,,,2.8635,1,1,0,0
115,116,TACH,1,2,A,3,0.4379,0.2344,0.96,,,0.6723,0,0,1,0
117,118,TACH,1,1,A,4,0.3616,0.1037,1.08,,,0.4653,0,0,1,0
121,122,TACH,1,3,A,6,0.6318,0.1275,1.36,,,0.7593000000000001,0,0,1,0
122,123,TACH,2,3,A,1,0.2805,0.0328,0.96,,,0.3133,0,0,1,0
125,126,TACH,2,2,A,2,0.1223,0.0527,0.8,,,0.175,0,0,1,0
128,129,TACH,2,1,A,5,0.229,0.0722,0.96,,,0.3012,0,0,1,0
132,133,TACH,3,1,A,1,0.688,0.118,1.36,,,0.8059999999999999,1,0,1,0
134,135,TACH,3,3,A,2,0.5161,0.2005,1.41,,,0.7166,1,0,1,0
139,140,TACH,3,2,A,5,0.2599,0.089,1.1,,,0.3489,1,0,1,0
142,143,TACH,4,3,A,3,0.2234,0.04,0.92,,,0.26339999999999997,1,0,1,0
144,145,TACH,4,2,A,4,0.6828,0.1101,1.33,,,0.7928999999999999,1,0,1,0
147,148,TACH,4,1,A,6,0.3662,0.0627,1.27,,,0.42890000000000006,1,0,1,0
114,115,TACH,1,3,H,2,0.3071,0.2681,1.06,,,0.5751999999999999,0,0,0,1
118,119,TACH,1,1,H,4,0.5338,0.154,1.06,,,0.6878000000000001,0,0,0,1
120,121,TACH,1,2,H,5,0.2575,0.0857,0.77,,,0.3432,0,0,0,1
123,124,TACH,2,1,H,1,0.1077,0.0581,0.85,,,0.1658,0,0,0,1
127,128,TACH,2,2,H,3,0.1005,0.0225,0.73,,,0.123,0,0,0,1
130,131,TACH,2,3,H,6,0.1165,0.0465,0.81,,,0.163,0,0,0,1
133,134,TACH,3,3,H,3,0.5699,0.4165,1.44,,,0.9863999999999999,1,0,0,1
135,136,TACH,3,1,H,2,0.3017,0.0842,0.95,,,0.3859,1,0,0,1
137,138,TACH,4,3,H,1,0.245,0.198,0.69,,,0.443,1,0,0,1
138,139,TACH,3,2,H,4,0.1473,0.0436,0.91,,,0.1909,1,0,0,1
146,147,TACH,4,1,H,5,0.2965,0.0401,1.08,,,0.3366,1,0,0,1
148,149,TACH,4,2,H,6,0.3134,0.1121,1.1,,,0.4255,1,0,0,1
113,114,TACH,1,2,L,1,0.1323,0.0952,0.86,,,0.2275,0,1,0,0
116,117,TACH,1,3,L,4,0.4607,0.1925,1.02,,,0.6532,0,1,0,0
119,120,TACH,1,1,L,5,0.2255,0.1866,0.96,,,0.4121,0,1,0,0
124,125,TACH,2,2,L,2,0.0346,0.106,0.49,,,0.1406,0,1,0,0
126,127,TACH,2,1,L,3,0.5423,0.1397,1.46,,,0.6819999999999999,0,1,0,0
129,130,TACH,2,3,L,6,0.1777,0.1981,0.85,,,0.3758,0,1,0,0
131,132,TACH,3,3,L,1,0.5332,1.707,1.26,,,2.2402,1,1,0,0
136,137,TACH,3,2,L,3,0.6617,0.1583,1.2,,,0.82,1,1,0,0
140,141,TACH,3,1,L,6,0.2795,0.1305,0.84,,,0.41000000000000003,1,1,0,0
141,142,TACH,4,3,L,2,0.5789,0.1394,1.34,,,0.7182999999999999,1,1,0,0
143,144,TACH,4,2,L,4,0.9058,0.0617,0.94,,,0.9675,1,1,0,0
145,146,TACH,4,1,L,5,0.097,0.0179,0.69,,,0.1149,1,1,0,0
